Model,Accuracy,F1-Macro
XGBoost,0.7817258883248731,0.7342706312458112
Gradient Boosting,0.7614213197969543,0.7164736041392996
Random Forest,0.766497461928934,0.7155327924242115
Logistic Regression,0.7639593908629442,0.7136869335552379
Support Vector Machine,0.7182741116751269,0.6740350998005221
K-Nearest Neighbors,0.5,0.45809884831954456
